geometry,spin,inclination_deg,arm,snr0,a0_999_lower_limit_M,J_old,J_old_best_mode,J_old_log_volume,deltaG_rank,deltaG_trace,deltaG_stable_rank,deltaG_min_positive_eigenvalue,deltaG_max_eigenvalue,deltaG_min_eigenvalue,deltaG_numerical_tolerance
a000_i050,0.0,50,UNRESOLVED_IMAGE,1000000.0,58.11851405777771,769.006712207784,889.8762312976056,13150.073046386971,,,,,,,
a000_i050,0.0,50,UNRESOLVED_IMAGE,100.0,58.11851405777771,9.610485885343154,23.665237427122577,68.52617474502978,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,1.0,58.11851405777771,0.0010310137220729848,0.006484670708537732,0.008466718429112167,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,3.0,58.11851405777771,0.009273438530149686,0.05803885396438235,0.07586660481838971,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,10.0,58.11851405777771,0.10233787976463266,0.611048140592361,0.80781822954844,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,30.0,58.11851405777771,0.8754349352516004,4.336477777244425,6.020950507121426,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,100.0,58.11851405777771,7.399452511667984,24.218503887201678,38.205481172763974,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,300.0,58.11851405777771,33.471609612716335,70.72587982887677,132.0332026417389,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,1000.0,58.11851405777771,96.71423557790273,149.2389532316244,351.01231970481626,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,3000.0,58.11851405777771,177.12336531475597,236.27700285266957,702.2744103860724,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,10000.0,58.11851405777771,282.95563550024724,349.4883360502606,1315.9245353754318,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,30000.0,58.11851405777771,397.9854921749344,473.1843456055732,2142.9729052449898,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,100000.0,58.11851405777771,541.7564788626329,625.1564828863831,3339.2955679307547,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,1000000.0,58.11851405777771,845.3142313930764,936.095455276264,6276.9622321607785,,,,,,,
a000_i050,0.0,50,TOTAL_FLUX,100.0,58.11851405777771,7.399452511667984,24.218503887201678,38.205481172763974,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,1.0,58.11851405777771,0.010846877534453745,0.08576987438782491,0.4421188780405738,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,3.0,58.11851405777771,0.09716693616887878,0.7463254922095139,3.9323229429288764,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,10.0,58.11851405777771,1.0314532071729936,6.785557724015051,40.034375659395415,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,30.0,58.11851405777771,7.487761234259087,34.1143990225597,252.3872625473822,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,100.0,58.11851405777771,40.92859703267712,104.59457081474562,1038.199248726865,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,300.0,58.11851405777771,108.30491289238938,198.48025532771072,2408.373527264993,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,1000.0,58.11851405777771,210.43896118672288,329.6823900167465,4632.922729534191,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,3000.0,58.11851405777771,326.7927120147224,468.18419536771745,7250.4876644817605,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,10000.0,58.11851405777771,475.45010754689037,629.2868093259868,10567.432850454621,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,30000.0,58.11851405777771,621.1203989892383,780.0530227288311,13868.207498586149,,,,,,,
a000_i050,0.0,50,DELAY_ONLY,100000.0,58.11851405777771,785.1914620676998,950.1595791663522,17700.7765163969,,,,,,,
